  Year   Total TR-Tourism   Digital/Smart   Convergence %
----------------------------------------------------------
  1951                  1               0           0.00%
  1952                  0               0           0.00%
  1953                  0               0           0.00%
  1954                  0               0           0.00%
  1955                  0               0           0.00%
  1956                  0               0           0.00%
  1957                  0               0           0.00%
  1958                  0               0           0.00%
  1959                  0               0           0.00%
  1960                  0               0           0.00%
  1961                  0               0           0.00%
  1962                  0               0           0.00%
  1963                  0               0           0.00%
  1964                  1               0           0.00%
  1965                  0               0           0.00%
  1966                  0               0           0.00%
  1967                  0               0           0.00%
  1968                  0               0           0.00%
  1969                  0               0           0.00%
  1970                  1               0           0.00%
  1971                  1               0           0.00%
  1972                  2               1          50.00%
  1973                  0               0           0.00%
  1974                  0               0           0.00%
  1975                  0               0           0.00%
  1976                  0               0           0.00%
  1977                  0               0           0.00%
  1978                  0               0           0.00%
  1979                  0               0           0.00%
  1980                  0               0           0.00%
  1981                  0               0           0.00%
  1982                  0               0           0.00%
  1983                  2               0           0.00%
  1984                  0               0           0.00%
  1985                  0               0           0.00%
  1986                  1               0           0.00%
  1987                  1               0           0.00%
  1988                  1               0           0.00%
  1989                  2               0           0.00%
  1990                  3               0           0.00%
  1991                  0               0           0.00%
  1992                  1               0           0.00%
  1993                  0               0           0.00%
  1994                  4               0           0.00%
  1995                  3               0           0.00%
  1996                  3               0           0.00%
  1997                  5               0           0.00%
  1998                  7               0           0.00%
  1999                  5               0           0.00%
  2000                  7               0           0.00%
  2001                  9               0           0.00%
  2002                 17               0           0.00%
  2003                 16               0           0.00%
  2004                 15               0           0.00%
  2005                 38               0           0.00%
  2006                 28               0           0.00%
  2007                 40               1           2.50%
  2008                 29               0           0.00%
  2009                 59               0           0.00%
  2010                 77               0           0.00%
  2011                 87               0           0.00%
  2012                111               0           0.00%
  2013                120               0           0.00%
  2014                160               0           0.00%
  2015                231               2           0.87%
  2016                350               3           0.86%
  2017                237               5           2.11%
  2018                150               4           2.67%
  2019                284               9           3.17%
  2020                349              18           5.16%
  2021                248              10           4.03%
  2022                  2               0           0.00%
