  Year  Digital  Title
--------------------------------------------------------------------------------
  2009       no  sanayi uretiminde tatil etkileri
  2013       no  yalin lojistik acisindan konaklama isletmelerinin tedarik zinciri yapisi ve karsilastirmali bir maliyet analizi
  2014       no  can tourism promotions influence a country s negative image an experimental study on israel s image
  2019       no  the effect of european and global uncertainty on stock returns of travel and leisure companies
  2011       no  tourism potential of gazipasa antalya turkey
  2013       no  the importance of marmaris tourism industry on development and factors that influence russian tourists in choosing marmaris
  2013       no  effects of russia s economic growth on turkey s tourism sector
  2020       no  is yasam dengesinin yasam doyumuna etkisinde ise gomulmuslugun aracilik rolu konaklama isletmelerinde bir uygulama
  2012       no  surface circulation in the alboran sea western mediterranean inferred from remotely sensed data
  2016       no  does tourism cause growth evidence from turkey
  2016      YES  mobile marketing usage of augmented reality in tourism
  2007       no  comparison of tourists and employees evaluations regarding services
  2021       no  tourism induced pollutant emissions in mediterranean countries evidence from panel causality analysis
  2016       no  surdurebilir gastronomi turizmine bir model sille beldesi orneği
  2011       no  evaluation of the vocational competence of the cookery students a study on the students of hotels and vocational high schools
  2020       no  investigation of the motivations and experiences of tourists visiting the gallipoli peninsula as a dark tourism destination
  2015       no  batum da turizmin gelişimi ve bolge gelişimine katkisi development of tourism in batumi and its impacts on regional development
  2018       no  we are like a family flexibility and intention to stay in boutique hotels in turkey
  2016       no  mesleki baglilik ve meslegi birakma niyeti uzerinde etken faktorler olarak birey meslek uyumu ve meslegin sosyal statusu turizm sektorunde gorgul bir arastirma
  2016       no  religious tourism in turkey
  2021       no  evaluation of precautionary measures taken for covid 19 in the hospitality industry during pandemic
  2021       no  antecedents and consequences of work family conflict in the hospitality industry
  2019       no  role stress and turnover intention in hotels the mediating role of organizational enthusiasm and unstimulating work
  2016       no  investigating the environmental kuznets curve hypothesis the role of tourism and ecological footprint
  2000       no  in vitro study of the penetration of streptococcus sanguis and prevotella intermedia strains into human dentinal tubules
  2009       no  moduler ogretim sisteminin getirdigi uygulamalarin degerlendirilmesi anadolu otelcilik ve turizm meslek liselerinde bir alan arastirmasi
  2002       no  detecting land use changes at the urban fringe from remotely sensed images in ankara turkey
  2012       no  the international patient s portfolio and marketing of turkish health tourism
  2016       no  liderlik uygulamalari orgutsel vatandaslik davranislari iliskisinde orgutsel adalet algisinin duzenleyici etkisi konaklama isletmeleri uzerine bir arastirma
  2018       no  the impact of cultural dimensions on customer complaint behaviours an exploratory study in antalya manavgat tourism region
  2016       no  the turkish competition authority unconditionally clears the acquisition of a 5 star hotel chain marriott starwood
  2016       no  uluslararasi konaklama işletmelerinin misyon ifadesi bileşenlerinin incelenmesi icerik analizi
  2018       no  creative cities network for marketing touristic products an analysis on literary cities
  2016       no  accessible tourism the golden key in the future for the specialized travel agencies
  2018       no  destinasyon tercihinde somut olmayan kulturel miras degerlerinin onemi uluslararasi kultur turistleri uzerine bir uygulama
  2018       no  calisan performansi ve mali performans pozitif ses cikarma psikolojik iyi olus ve calismaya tutkunluk ile iliskileri ve otel isletmeleri ornegi the relationship between employee performance and financial performance positive voice well being and work engagement at hotels
  2020       no  turistik seyahatlerde unutulmaz yemek deneyiminin davranissal niyete etkisi gaziantep ornegi
  2016       no  nature based tourism in turkey the yayla in turkey s eastern black sea region
  2019       no  the comparison of robust partial least squares regression methods rsimpls prm with robust principal component regression for predicting tourist arrivals to turkey
  2021       no  turkiye ekonomisinde 1990 2016 doneminde turizm ve cevre iliskisinin ekonometrik analizi
  2014       no  anatolia turizm arastirmalari dergisi nin bibliyometrik analizi arastirma konulari ve kurumlar arasi is birliginin sosyal ag analizi ile incelenmesi bibliometric analysis of anatolia turizm arastirmalari dergisi an analysis of research subjects and institutional collabration through social network analysis
  2018       no  hotel guests satisfaction with employees in istanbul and barcelona
  2019       no  the role of accounting in the improvement of costs in hotel businesses sustainability report
  2004       no  influences of campus recruiting on applicant attraction to hospitality companies
  2019       no  evaluation of iran s cultural tourism potential from the european union perspective jolfa region
  2015       no  leisure time physical activity level in turkish population turkey 2012
  2005       no  tourism public policy and the strategic management of failure
  2015      YES  augmented reality advertisements in tourism marketing
  2021       no  evaluation of innovative management success criteria in hotel establishments case study in giresun turkey
  2010       no  knowledge management organisational communication and job satisfaction an empirical test of a five star hotel in turkey
  1951       no  turizm ve tabiati koruma islerimiz
  2013       no  huzun turizmi katilimcilarinin seyahat motivasyonlarinin belirlenmesi
  2019       no  destinasyon kisiligi ile memnuniyet ve davranissal niyetler arasindaki iliskilerin incelenmesi gaziantep ornegi
  2016       no  examining of leisure time participation psychological well being and leisure negotiation of university students serbest zaman katilimi psikolojik iyi olma ve serbest zaman engelleri ile bas etme stratejilerinin universite ogrencileri uzerinde incelenmesi
  2011       no  evaluation of kocarli adnan menderes urban forest in terms of the ecotourism
  2002       no  resident attitudes toward tourism impacts the case of kusadasi in turkey
  2021       no  otel isletmelerinde musteri memnuniyeti ve sadakati uzerine bir calisma
  2015       no  do guests get their expected dishes or not evaluation of food beverage services in hotel establishments case of antalya misafir umdugunu mu yer buldugunu mu otel isletmelerinde yiyecek icecek hizmetlerinin degerlendirilmesi antalya ornegi
  2016       no  orgutsel guven ile orgut ikliminin orgutsel ozdeslesme is tatmini ve isten ayrilma niyeti uzerine etkileri otel isletmelerinde bir uygulama
  2020       no  land use suitability analysis of rural tourism activities yenice turkey
  2015       no  medikal turizm sektorunde kuresel isbirligi yenilikcilik ve buyume antalya ornegi
  2015       no  iş stresi kaytarma ilişkisinde liderin rolu turizm sektorunde bir araştirma
  2016       no  the fourth international conference on climate tourism and recreation
  2019       no  investigation of leisure perceptions of individuals in outdoor sports
  2021       no  how to survive a pandemic the corporate resiliency of travel and leisure companies to the covid 19 outbreak
  2020       no  how to survive a pandemic the corporate resiliency of travel and leisure companies to the covid 19 outbreak
  2021       no  iliskisel sosyal sermayenin isten ayrilma niyetine etkisi saglik turizmi isletmelerinde bir uygulama
  2016       no  alternative tourism definition and characteristics
  2020       no  engelli basketbolcularin sosyal hayatini engelleyen saglik sorunlarinin turizm faaliyetleri acisindan degerlendirilmesi
  2016       no  konaklama tesisi yoneticilerinin alternatif turizme dair gorusleri dogu antalya side turistik gelisim projesi bolgesi ornegi
  2007       no  tourist harassment a marketing perspective
  2019       no  analysis of the customer based efficiency at workplace for tourism industry using house of quality
  2017       no  the intervening role of competitiveness on the relationship between sustainability and tourism performance a research on european countries
  2015       no  sport tourism and its history and contribution of olympic games to touristic promotion
  2015       no  the role of culture in the relationship between leader support and innovative behaviors a research in tourism sector
  2017       no  rural development oriented ecotourism planning on catchment basin scale the case of pabucdere and kazandere catchment basins
  2015       no  otel isletmelerinde tedarikci secimi surecinde ahp ve bahp yontemlerinin uygulanmasi
  2015       no  marketing efforts related to social media channels and mobile application usage in tourism case study in istanbul
  2016       no  identification of hotel attributes for senior tourists by using vavra s importance grid
  2015       no  crustal structure of the north anatolian and east anatolian fault systems from magnetotelluric data
  1972      YES  a dynamic programming integer programming algorithm for allocating touristic investments
  2007       no  an analysis of managerial competency needs in the tourism sector the case of turkey
  2020       no  unesco gastronomi kenti afyonkarahisar mutfagi uzerine yapilan calismalarin bibliyometrisi
  2015       no  examining attitudes towards leisure activities of footballtennis athletes
  2019       no  otel personeli iş ilanlarinda aranan nitelik ve becerilere yonelik bir araştirma
  2014       no  etik iklim ise yabancilasma ve orgutsel ozdeslesmenin isten ayrilma niyeti uzerindeki etkisi otel isletmelerinde bir arastirma
  2004       no  forecasting turkey s tourism revenues by armax model
  2013       no  determining the tourism potential of the altindere valley national park trabzon turkey with respect to its conservation value
